"Instance","Size","CT","WT","ArchiveSize","Evaluations","Time"
"100.10.1","100","7313.72","219589.33","735","20673074","390.2716417"
"100.10.2","100","4951.54","153715.53","2","20648702","591.307389"
"100.10.3","100","7584","215424.99","738","20695841","554.275477"
"100.10.4","100","7280.66","209660.43","8","20643173","542.587152"
"100.20.1","100","12003.99","297621.41","6","20612966","773.2269728"
"100.20.2","100","11435.7","237661","1667","20618127","870.3064831"
"100.20.3","100","12921.01","358504.89","33","20610626","785.635674"
"100.20.4","100","13518.7","329048.73","832","20664129","633.8538236"
"100.30.1","100","18680.88","565663.7","41","20613060","1115.6365218"
"100.30.2","100","18316.06","529285.29","5","20610354","1853.0528013"
"100.30.3","100","19296.22","566072.56","66","20619510","708.1187107"
"100.30.4","100","20915.17","723556.17","10","20610728","1267.9936911"
"100.40.1","100","24131.32","792775.8","4","20617785","638.6166345"
"100.40.2","100","24485.16","755585.86","6","20613478","645.1179094"
"100.40.3","100","23904.05","786605.2","493","20833039","579.138211"
"100.40.4","100","24231.3","734279.99","11","20613110","878.808102"
"50.10.1","50","4717.26","75092.1","4","1097953","149.0938839"
"50.10.2","50","5487.9","99476.92","5","1095077","72.9941377"
"50.10.3","50","4401.01","79342.64","4","1096909","44.7546826"
"50.10.4","50","4328.29","67320.13","1","1095362","167.6762952"
"50.20.1","50","10612.79","146795.29","124","1105441","29.4789665"
"50.20.2","50","9899.33","137089.69","12","1098487","40.8742966"
"50.20.3","50","9316.63","109140.31","2","1111472","29.0162324"
"50.20.4","50","9040.16","89668.4","3","1119155","25.6705548"
"50.30.1","50","16905.96","261272.07","11","1095286","62.707316"
"50.30.2","50","16095.13","174615.88","10","1099147","35.3837313"
"50.30.3","50","17867.23","264881.64","155","1096008","48.3486265"
"50.30.4","50","18726.29","270823.59","672","1103881","26.3167808"
"50.40.1","50","22099.13","338454.57","38","1104381","27.4833105"
"50.40.2","50","21572.24","372819.08","442","1097846","22.9899276"
"50.40.3","50","21750.24","402450.87","11","1110309","23.1800228"
"50.40.4","50","21101.64","364421.77","5","1099104","34.6763928"
